epoch,loss,mae,val_loss,val_mae
0,8.532011032104492,2.4345860481262207,1.9590743780136108,1.1000773906707764
1,1.4651820659637451,0.9366561770439148,1.161110281944275,0.834564745426178
2,0.9618602991104126,0.7530621886253357,0.8507599234580994,0.7085753083229065
3,0.727977991104126,0.6517124176025391,0.7005100250244141,0.6381333470344543
4,0.6142873764038086,0.5995085835456848,0.6260244250297546,0.6015230417251587
5,0.5583639144897461,0.5737423300743103,0.5900077223777771,0.5839311480522156
6,0.5282853841781616,0.5594989657402039,0.5703985691070557,0.5739755034446716
7,0.5096762180328369,0.5505868792533875,0.5576719045639038,0.5683216452598572
8,0.49741414189338684,0.5444146990776062,0.5494930744171143,0.5648773312568665
9,0.4889383316040039,0.5399932861328125,0.5431637167930603,0.5618945956230164
10,0.4826788008213043,0.5367236137390137,0.5391120314598083,0.5599709153175354
11,0.4776071310043335,0.5341132879257202,0.5359274744987488,0.5587130784988403
12,0.4732670485973358,0.5318329930305481,0.5328587293624878,0.5572811961174011
13,0.4694390594959259,0.5298222303390503,0.530181884765625,0.5559662580490112
14,0.4661002457141876,0.5280419588088989,0.5279315710067749,0.5549378395080566
15,0.46315619349479675,0.5265243053436279,0.5263710618019104,0.554286003112793
16,0.4606189429759979,0.5253310799598694,0.5248315930366516,0.5536031126976013
17,0.45845645666122437,0.5242775082588196,0.5237416625022888,0.5530974864959717
18,0.4565008878707886,0.5232985615730286,0.5225229859352112,0.5525813698768616
19,0.45466530323028564,0.5223925709724426,0.5215749740600586,0.5521558523178101
20,0.4530152678489685,0.5215005874633789,0.5209178924560547,0.5518724918365479
21,0.45151805877685547,0.5207183361053467,0.5201780796051025,0.5513911247253418
22,0.45011624693870544,0.5199620127677917,0.5195450782775879,0.5510432124137878
23,0.4488975703716278,0.5193291306495667,0.5188512802124023,0.5507140755653381
24,0.4476843476295471,0.5187363624572754,0.5183559656143188,0.5504578351974487
25,0.44659531116485596,0.518186628818512,0.5177408456802368,0.5500926971435547
26,0.44559594988822937,0.5175430774688721,0.517436683177948,0.5498412847518921
27,0.4446239173412323,0.5169467926025391,0.5170241594314575,0.5496617555618286
28,0.4436468780040741,0.5163612961769104,0.5166808366775513,0.5495084524154663
29,0.4426902234554291,0.5158184170722961,0.5162791013717651,0.5493330359458923
30,0.44181904196739197,0.5153138041496277,0.5157545208930969,0.5490238666534424
31,0.44095489382743835,0.5148043036460876,0.5156551003456116,0.5490137934684753
32,0.44015491008758545,0.5143886208534241,0.5153566002845764,0.5488582849502563
33,0.4393468201160431,0.5138894319534302,0.5153935551643372,0.5488125085830688
34,0.43862229585647583,0.5135020613670349,0.5152190923690796,0.5486957430839539
35,0.4378819763660431,0.5131069421768188,0.5153824687004089,0.5487495064735413
36,0.43726688623428345,0.5127692818641663,0.5149884223937988,0.5485437512397766
37,0.4366300702095032,0.51239413022995,0.5148482918739319,0.5483708381652832
38,0.4360244572162628,0.5120832324028015,0.5145793557167053,0.5482428669929504
39,0.4354197680950165,0.5117340087890625,0.5143678784370422,0.548146665096283
40,0.4348337948322296,0.5114591717720032,0.5141781568527222,0.5481382608413696
41,0.43420615792274475,0.511096179485321,0.514430046081543,0.5482696294784546
42,0.4336410164833069,0.5107272267341614,0.5138893127441406,0.5480332374572754
43,0.4329969584941864,0.5104128122329712,0.5138788223266602,0.548130452632904
44,0.43241870403289795,0.5101432204246521,0.5136013031005859,0.5479466915130615
45,0.431854784488678,0.5098656415939331,0.513568639755249,0.5480039715766907
46,0.4313218295574188,0.5096281170845032,0.5132951140403748,0.5478891730308533
47,0.4307188391685486,0.5092713236808777,0.5134132504463196,0.5479839444160461
48,0.43015056848526,0.5089967250823975,0.5129530429840088,0.5477727055549622
49,0.42958611249923706,0.5087296962738037,0.5128140449523926,0.5477162003517151
0,11.540077209472656,2.923158884048462,1.914583683013916,1.1117066144943237
1,1.4563148021697998,0.9342085719108582,1.083933711051941,0.831619143486023
2,0.9610857367515564,0.7513525485992432,0.7802294492721558,0.7014774084091187
3,0.7437883615493774,0.6606594920158386,0.6369825005531311,0.6317156553268433
4,0.6330959796905518,0.6113616228103638,0.5690934658050537,0.5957012176513672
5,0.5750806331634521,0.5859456658363342,0.5370170474052429,0.5765933394432068
6,0.542955756187439,0.5714302062988281,0.5204448699951172,0.5650779008865356
7,0.5232489109039307,0.5621557831764221,0.5112865567207336,0.558975875377655
8,0.5103116631507874,0.5558385848999023,0.5055222511291504,0.5550011992454529
9,0.5011193156242371,0.5507450699806213,0.5014132261276245,0.5523986220359802
10,0.494238942861557,0.5470327138900757,0.49855872988700867,0.5509195923805237
11,0.4888739585876465,0.5441969633102417,0.49591970443725586,0.5495856404304504
12,0.48450666666030884,0.5418697595596313,0.49316102266311646,0.5481186509132385
